id;region_id;name;description;contact_number;address;website_link
445;3;SD DINIYAH AISYIYAH;Sekolah ini memakai kurikulum 2013 dan memiliki akreditasi B. Sekolah ini memiliki kepala sekolah yang bernama Putri Rahmah Muslihah dan operator yang bernama Vabiola Vanona;(021) 8308764;7, RT.7/RW.7, Ps. Manggis, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12970;-
446;3;SDIT AL QURAN EL FAWAZ;Sekolah ini memakai kurikulum 2013 dan memiliki akreditasi B. Sekolah ini memiliki kepala sekolah yang bernama Nu'man dan operator yang bernama NOVI SETIAWAN;0812-8706-3265;Jl. Bangka V No.21 E, RT.8/RW.3, Pela Mampang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12720;-
447;3;SD YAPENKA;Sekolah ini memakai kurikulum 2013. Sekolah ini memiliki kepala sekolah yang bernama Ahmad Mubassyir dan operator yang bernama Lastuti Mustar;(021) 7669378;Jl. Cipete III No. 5, Cilandak, Jakarta 12410;https://yapenka.sch.id/
448;3;SD ISLAM AN NASH;Sekolah ini memakai kurikulum merdeka. Sekolah ini memiliki kepala sekolah yang bernama SURYA ILMAN SUKMAWI dan operator yang bernama Ali Fareza;(021) 78836366;Jl. Poltangan Raya No.9 10, RT.1/RW.11, East Pejaten, Pasar Minggu, South Jakarta City, Jakarta 12510;https://annash.or.id/
449;3;SD AL WILDAN 4 ISLAMIC SCHOOL JAKARTA;Sekolah ini memakai kurikulum 2013 dan memiliki akreditasi B. Sekolah ini memiliki kepala sekolah yang bernama Galuh Pramananda;0822-8877-0404;Jl. H. Nudin No.71, RT.5/RW.3, Lb. Bulus, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12440;http://alwildan4jakarta.sch.id/
450;3;SD IT AL HIKMAH;Sekolah ini memakai kurikulum 2013 dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Muh. Amiruddin dan operator yang bernama DINA TRI UTAMI;(021) 7198105;Jl. Bangka II No.24, RT.8/RW.3, Pela Mampang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12720;https://sdit.alhikmahmp.sch.id/
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
